id,code,name,dish_type,cooking_method,description,instructions,tags,ingredients_json,is_active
,DISH-SAV-002,Cá thu kho cà chua,savory,braise,Cá thu kho cà chua định lượng cho một khẩu phần người lớn.,"Sơ chế nguyên liệu; nấu/kho đến khi chín, nêm vừa ăn và dùng nóng.","giàu đạm,đậm đà","[{""name"":""Cá thu"",""quantity"":150,""unit"":""g""},{""name"":""Cà chua"",""quantity"":80,""unit"":""g""},{""name"":""Nước mắm"",""quantity"":8,""unit"":""ml""},{""name"":""Hành tím"",""quantity"":5,""unit"":""g""}]",true
,DISH-SAV-003,Gà kho gừng,savory,braise,Gà kho gừng định lượng cho một khẩu phần người lớn.,"Sơ chế nguyên liệu; nấu/kho đến khi chín, nêm vừa ăn và dùng nóng.","giàu đạm,đậm đà","[{""name"":""Đùi gà"",""quantity"":150,""unit"":""g""},{""name"":""Gừng"",""quantity"":10,""unit"":""g""},{""name"":""Nước mắm"",""quantity"":8,""unit"":""ml""},{""name"":""Đường"",""quantity"":4,""unit"":""g""}]",true
,DISH-SAV-004,Đậu phụ sốt cà chua,savory,braise,Đậu phụ sốt cà chua định lượng cho một khẩu phần người lớn.,"Sơ chế nguyên liệu; nấu/kho đến khi chín, nêm vừa ăn và dùng nóng.","chay,đậm đà","[{""name"":""Đậu phụ"",""quantity"":180,""unit"":""g""},{""name"":""Cà chua"",""quantity"":120,""unit"":""g""},{""name"":""Hành lá"",""quantity"":5,""unit"":""g""},{""name"":""Dầu ăn"",""quantity"":5,""unit"":""ml""}]",true
,DISH-SAV-005,Tôm rim,savory,braise,Tôm rim định lượng cho một khẩu phần người lớn.,"Sơ chế nguyên liệu; nấu/kho đến khi chín, nêm vừa ăn và dùng nóng.","giàu đạm,đậm đà","[{""name"":""Tôm"",""quantity"":140,""unit"":""g""},{""name"":""Nước mắm"",""quantity"":8,""unit"":""ml""},{""name"":""Đường"",""quantity"":5,""unit"":""g""},{""name"":""Hành tím"",""quantity"":5,""unit"":""g""}]",true
,DISH-SAV-006,Thịt heo kho,savory,braise,Thịt heo kho định lượng cho một khẩu phần người lớn.,"Sơ chế nguyên liệu; nấu/kho đến khi chín, nêm vừa ăn và dùng nóng.","giàu đạm,đậm đà","[{""name"":""Thịt heo nạc"",""quantity"":150,""unit"":""g""},{""name"":""Nước mắm"",""quantity"":8,""unit"":""ml""},{""name"":""Đường"",""quantity"":4,""unit"":""g""},{""name"":""Hành tím"",""quantity"":5,""unit"":""g""}]",true
,DISH-SAV-007,Bò xào hành,savory,stir_fry,Bò xào hành định lượng cho một khẩu phần người lớn.,"Sơ chế nguyên liệu; xào hoặc áp chảo đến khi chín, nêm vừa ăn và dùng nóng.","giàu đạm,đậm đà","[{""name"":""Thịt bò"",""quantity"":140,""unit"":""g""},{""name"":""Hành tây"",""quantity"":100,""unit"":""g""},{""name"":""Dầu ăn"",""quantity"":6,""unit"":""ml""},{""name"":""Dầu hào"",""quantity"":8,""unit"":""ml""}]",true
,DISH-SAV-008,Cá rô phi kho,savory,braise,Cá rô phi kho định lượng cho một khẩu phần người lớn.,"Sơ chế nguyên liệu; nấu/kho đến khi chín, nêm vừa ăn và dùng nóng.","giàu đạm,đậm đà","[{""name"":""Cá rô phi"",""quantity"":160,""unit"":""g""},{""name"":""Nước mắm"",""quantity"":8,""unit"":""ml""},{""name"":""Đường"",""quantity"":4,""unit"":""g""},{""name"":""Hành lá"",""quantity"":5,""unit"":""g""}]",true
,DISH-SAV-009,Trứng chiên,savory,stir_fry,Trứng chiên định lượng cho một khẩu phần người lớn.,"Sơ chế nguyên liệu; xào hoặc áp chảo đến khi chín, nêm vừa ăn và dùng nóng.","giàu đạm,đậm đà","[{""name"":""Trứng gà"",""quantity"":2,""unit"":""quả""},{""name"":""Dầu ăn"",""quantity"":5,""unit"":""ml""},{""name"":""Hành lá"",""quantity"":5,""unit"":""g""}]",true
,DISH-SAV-010,Ức gà áp chảo,savory,stir_fry,Ức gà áp chảo định lượng cho một khẩu phần người lớn.,"Sơ chế nguyên liệu; xào hoặc áp chảo đến khi chín, nêm vừa ăn và dùng nóng.","giàu đạm,đậm đà","[{""name"":""Ức gà"",""quantity"":160,""unit"":""g""},{""name"":""Dầu olive"",""quantity"":5,""unit"":""ml""},{""name"":""Tỏi"",""quantity"":5,""unit"":""g""},{""name"":""Tiêu đen"",""quantity"":1,""unit"":""g""}]",true
,DISH-SAV-011,Gà xào sả ớt,savory,stir_fry,Gà xào sả ớt định lượng cho một khẩu phần người lớn.,"Sơ chế nguyên liệu; xào hoặc áp chảo đến khi chín, nêm vừa ăn và dùng nóng.","giàu đạm,đậm đà","[{""name"":""Đùi gà"",""quantity"":150,""unit"":""g""},{""name"":""Sả"",""quantity"":15,""unit"":""g""},{""name"":""Ớt tươi"",""quantity"":5,""unit"":""g""},{""name"":""Dầu ăn"",""quantity"":6,""unit"":""ml""}]",true
,DISH-SAV-012,Gà hấp hành,savory,steam,Gà hấp hành định lượng cho một khẩu phần người lớn.,"Sơ chế nguyên liệu; hấp đến khi chín, nêm vừa ăn và dùng nóng.","giàu đạm,ít dầu","[{""name"":""Đùi gà"",""quantity"":160,""unit"":""g""},{""name"":""Hành lá"",""quantity"":15,""unit"":""g""},{""name"":""Gừng"",""quantity"":8,""unit"":""g""},{""name"":""Nước mắm"",""quantity"":6,""unit"":""ml""}]",true
,DISH-SAV-013,Gà kho nghệ,savory,braise,Gà kho nghệ định lượng cho một khẩu phần người lớn.,"Sơ chế nguyên liệu; nấu/kho đến khi chín, nêm vừa ăn và dùng nóng.","giàu đạm,đậm đà","[{""name"":""Đùi gà"",""quantity"":150,""unit"":""g""},{""name"":""Nghệ tươi"",""quantity"":10,""unit"":""g""},{""name"":""Nước mắm"",""quantity"":8,""unit"":""ml""},{""name"":""Hành tím"",""quantity"":5,""unit"":""g""}]",true
,DISH-SAV-014,Gà xào nấm,savory,stir_fry,Gà xào nấm định lượng cho một khẩu phần người lớn.,"Sơ chế nguyên liệu; xào hoặc áp chảo đến khi chín, nêm vừa ăn và dùng nóng.","giàu đạm,đậm đà","[{""name"":""Ức gà"",""quantity"":140,""unit"":""g""},{""name"":""Nấm bào ngư"",""quantity"":100,""unit"":""g""},{""name"":""Dầu ăn"",""quantity"":6,""unit"":""ml""},{""name"":""Dầu hào"",""quantity"":8,""unit"":""ml""}]",true
,DISH-SAV-015,Gà sốt cà chua,savory,braise,Gà sốt cà chua định lượng cho một khẩu phần người lớn.,"Sơ chế nguyên liệu; nấu/kho đến khi chín, nêm vừa ăn và dùng nóng.","giàu đạm,đậm đà","[{""name"":""Ức gà"",""quantity"":150,""unit"":""g""},{""name"":""Cà chua"",""quantity"":120,""unit"":""g""},{""name"":""Hành tây"",""quantity"":40,""unit"":""g""},{""name"":""Dầu ăn"",""quantity"":5,""unit"":""ml""}]",true
,DISH-SAV-016,Thịt heo kho tiêu,savory,braise,Thịt heo kho tiêu định lượng cho một khẩu phần người lớn.,"Sơ chế nguyên liệu; nấu/kho đến khi chín, nêm vừa ăn và dùng nóng.","giàu đạm,đậm đà","[{""name"":""Thịt heo nạc"",""quantity"":150,""unit"":""g""},{""name"":""Tiêu đen"",""quantity"":2,""unit"":""g""},{""name"":""Nước mắm"",""quantity"":8,""unit"":""ml""},{""name"":""Đường"",""quantity"":4,""unit"":""g""}]",true
,DISH-SAV-017,Thịt nạc xào cà rốt,savory,stir_fry,Thịt nạc xào cà rốt định lượng cho một khẩu phần người lớn.,"Sơ chế nguyên liệu; xào hoặc áp chảo đến khi chín, nêm vừa ăn và dùng nóng.","giàu đạm,đậm đà","[{""name"":""Thịt heo nạc"",""quantity"":140,""unit"":""g""},{""name"":""Cà rốt"",""quantity"":100,""unit"":""g""},{""name"":""Dầu ăn"",""quantity"":6,""unit"":""ml""},{""name"":""Dầu hào"",""quantity"":8,""unit"":""ml""}]",true
,DISH-SAV-018,Sườn non kho,savory,braise,Sườn non kho định lượng cho một khẩu phần người lớn.,"Sơ chế nguyên liệu; nấu/kho đến khi chín, nêm vừa ăn và dùng nóng.","giàu đạm,đậm đà","[{""name"":""Sườn non heo"",""quantity"":180,""unit"":""g""},{""name"":""Nước mắm"",""quantity"":8,""unit"":""ml""},{""name"":""Đường"",""quantity"":5,""unit"":""g""},{""name"":""Hành tím"",""quantity"":5,""unit"":""g""}]",true
,DISH-SAV-019,Thịt ba chỉ rim,savory,braise,Thịt ba chỉ rim định lượng cho một khẩu phần người lớn.,"Sơ chế nguyên liệu; nấu/kho đến khi chín, nêm vừa ăn và dùng nóng.","giàu đạm,đậm đà","[{""name"":""Thịt ba chỉ"",""quantity"":130,""unit"":""g""},{""name"":""Nước mắm"",""quantity"":8,""unit"":""ml""},{""name"":""Đường"",""quantity"":5,""unit"":""g""},{""name"":""Tiêu đen"",""quantity"":1,""unit"":""g""}]",true
,DISH-SAV-020,Thịt heo xào đậu que,savory,stir_fry,Thịt heo xào đậu que định lượng cho một khẩu phần người lớn.,"Sơ chế nguyên liệu; xào hoặc áp chảo đến khi chín, nêm vừa ăn và dùng nóng.","giàu đạm,đậm đà","[{""name"":""Thịt heo nạc"",""quantity"":130,""unit"":""g""},{""name"":""Đậu que"",""quantity"":120,""unit"":""g""},{""name"":""Dầu ăn"",""quantity"":6,""unit"":""ml""},{""name"":""Tỏi"",""quantity"":5,""unit"":""g""}]",true
,DISH-SAV-021,Thịt viên sốt cà,savory,braise,Thịt viên sốt cà định lượng cho một khẩu phần người lớn.,"Sơ chế nguyên liệu; nấu/kho đến khi chín, nêm vừa ăn và dùng nóng.","giàu đạm,đậm đà","[{""name"":""Thịt bò xay"",""quantity"":120,""unit"":""g""},{""name"":""Cà chua"",""quantity"":120,""unit"":""g""},{""name"":""Hành tây"",""quantity"":40,""unit"":""g""},{""name"":""Dầu ăn"",""quantity"":5,""unit"":""ml""}]",true
,DISH-SAV-022,Bò xào bông cải,savory,stir_fry,Bò xào bông cải định lượng cho một khẩu phần người lớn.,"Sơ chế nguyên liệu; xào hoặc áp chảo đến khi chín, nêm vừa ăn và dùng nóng.","giàu đạm,đậm đà","[{""name"":""Thịt bò"",""quantity"":140,""unit"":""g""},{""name"":""Bông cải xanh"",""quantity"":120,""unit"":""g""},{""name"":""Dầu ăn"",""quantity"":6,""unit"":""ml""},{""name"":""Dầu hào"",""quantity"":8,""unit"":""ml""}]",true
,DISH-SAV-023,Bò kho gừng,savory,braise,Bò kho gừng định lượng cho một khẩu phần người lớn.,"Sơ chế nguyên liệu; nấu/kho đến khi chín, nêm vừa ăn và dùng nóng.","giàu đạm,đậm đà","[{""name"":""Thịt bò"",""quantity"":150,""unit"":""g""},{""name"":""Gừng"",""quantity"":12,""unit"":""g""},{""name"":""Nước mắm"",""quantity"":8,""unit"":""ml""},{""name"":""Hành tím"",""quantity"":5,""unit"":""g""}]",true
,DISH-SAV-024,Bò xào cần tây,savory,stir_fry,Bò xào cần tây định lượng cho một khẩu phần người lớn.,"Sơ chế nguyên liệu; xào hoặc áp chảo đến khi chín, nêm vừa ăn và dùng nóng.","giàu đạm,đậm đà","[{""name"":""Thịt bò"",""quantity"":140,""unit"":""g""},{""name"":""Cần tây"",""quantity"":100,""unit"":""g""},{""name"":""Hành tây"",""quantity"":50,""unit"":""g""},{""name"":""Dầu ăn"",""quantity"":6,""unit"":""ml""}]",true
,DISH-SAV-025,Bò sốt cà chua,savory,braise,Bò sốt cà chua định lượng cho một khẩu phần người lớn.,"Sơ chế nguyên liệu; nấu/kho đến khi chín, nêm vừa ăn và dùng nóng.","giàu đạm,đậm đà","[{""name"":""Thịt bò"",""quantity"":150,""unit"":""g""},{""name"":""Cà chua"",""quantity"":120,""unit"":""g""},{""name"":""Hành tây"",""quantity"":40,""unit"":""g""},{""name"":""Dầu ăn"",""quantity"":5,""unit"":""ml""}]",true
,DISH-SAV-026,Cá basa kho tiêu,savory,braise,Cá basa kho tiêu định lượng cho một khẩu phần người lớn.,"Sơ chế nguyên liệu; nấu/kho đến khi chín, nêm vừa ăn và dùng nóng.","giàu đạm,đậm đà","[{""name"":""Cá basa"",""quantity"":170,""unit"":""g""},{""name"":""Tiêu đen"",""quantity"":2,""unit"":""g""},{""name"":""Nước mắm"",""quantity"":8,""unit"":""ml""},{""name"":""Đường"",""quantity"":4,""unit"":""g""}]",true
,DISH-SAV-027,Cá hồi áp chảo,savory,stir_fry,Cá hồi áp chảo định lượng cho một khẩu phần người lớn.,"Sơ chế nguyên liệu; xào hoặc áp chảo đến khi chín, nêm vừa ăn và dùng nóng.","giàu đạm,đậm đà","[{""name"":""Cá hồi"",""quantity"":150,""unit"":""g""},{""name"":""Dầu olive"",""quantity"":5,""unit"":""ml""},{""name"":""Tỏi"",""quantity"":5,""unit"":""g""},{""name"":""Tiêu đen"",""quantity"":1,""unit"":""g""}]",true
,DISH-SAV-028,Cá lóc hấp gừng,savory,steam,Cá lóc hấp gừng định lượng cho một khẩu phần người lớn.,"Sơ chế nguyên liệu; hấp đến khi chín, nêm vừa ăn và dùng nóng.","giàu đạm,ít dầu","[{""name"":""Cá lóc"",""quantity"":170,""unit"":""g""},{""name"":""Gừng"",""quantity"":12,""unit"":""g""},{""name"":""Hành lá"",""quantity"":10,""unit"":""g""},{""name"":""Xì dầu"",""quantity"":8,""unit"":""ml""}]",true
